time,nb dead,nb package
100,0,400
200,0,400
300,0,400
400,0,400
500,0,400
600,0,400
700,0,400
800,0,400
900,0,400
1000,0,400
1100,0,400
1200,0,400
1300,0,400
1400,0,400
1500,0,400
1600,0,400
1700,0,400
1800,0,400
1900,0,400
2000,0,400
2100,0,400
2200,0,400
2300,0,400
2400,0,400
2500,0,400
2600,0,400
2700,0,400
2800,0,400
2900,0,400
3000,0,400
3100,0,400
3200,0,400
3300,0,400
3400,0,400
3500,0,400
3600,0,400
3700,0,400
3800,0,400
3900,0,400
4000,0,400
4100,0,400
4200,0,400
4300,0,400
4400,0,400
4500,0,400
4600,0,400
4700,0,400
4800,0,400
4900,0,400
5000,0,400
5100,0,400
5200,0,400
5300,0,400
5400,0,400
5500,0,400
5600,0,400
5700,0,400
5800,0,400
5900,0,400
6000,0,400
6100,0,400
6200,0,400
6300,0,400
6400,0,400
6500,0,400
6600,0,400
6700,0,400
6800,0,400
6900,0,400
7000,0,400
7100,0,400
7200,0,400
7300,0,400
7400,0,400
7500,0,400
7600,0,400
7700,0,400
7800,0,400
7900,0,400
8000,0,400
8100,0,400
8200,0,400
8300,0,400
8400,0,400
8500,0,400
8600,0,400
8700,0,400
8800,0,400
8900,0,400
9000,0,400
9100,0,400
9200,0,400
9300,0,400
9400,0,400
9500,0,400
9600,0,400
9700,0,400
9800,0,400
9900,0,400
10000,0,400
10100,0,400
10200,0,400
10300,0,400
10400,0,400
10500,0,400
10600,0,400
10700,0,400
10800,0,400
10900,0,400
11000,0,400
11100,0,400
11200,0,400
11300,0,400
11400,0,400
11500,0,400
11600,0,400
11700,0,400
11800,0,400
11900,0,400
12000,0,400
12100,0,400
12200,0,400
12300,0,400
12400,0,400
12500,0,400
12600,0,400
12700,0,400
12800,0,400
12900,0,400
13000,0,400
13100,0,400
13200,0,400
13300,0,400
13400,0,400
13500,0,400
13600,0,400
13700,0,400
13800,0,400
13900,0,400
14000,0,400
14100,0,400
14200,0,400
14300,0,400
14400,0,400
14500,0,400
14600,0,400
14700,0,400
14800,0,400
14900,0,400
15000,0,400
15100,0,400
15200,0,400
15300,0,400
15400,0,400
15500,1,303
15600,1,303
15700,1,303
15800,1,303
15900,1,303
16000,1,303
16100,1,303
16200,1,303
16300,1,303
16400,1,303
16500,1,303
16600,1,303
16700,1,303
16800,1,303
16900,1,303
17000,1,303
17100,1,303
17200,1,303
17300,1,303
17400,1,303
17500,1,303
17600,1,303
17700,1,303
17800,1,303
17900,1,303
18000,1,303
18100,1,303
18200,1,303
18300,1,303
18400,1,303
18500,1,303
18600,1,303
18700,1,303
18800,1,303
18900,1,303
19000,1,303
19100,1,303
19200,1,303
19300,1,303
19400,1,303
19500,1,303
19600,1,303
19700,1,303
19800,1,303
19900,1,303
20000,1,303
20100,1,303
20200,1,303
20300,1,303
20400,1,303
20500,1,303
20600,1,303
20700,1,303
20800,1,303
20900,1,303
21000,1,303
21100,2,233
21200,2,233
21300,2,233
21400,2,233
21500,2,233
21600,2,233
21700,2,233
21800,2,233
21900,2,233
22000,2,233
22100,2,233
22200,2,233
22300,2,233
22400,2,233
22500,2,233
22600,2,233
22700,2,233
22800,2,233
22900,2,233
23000,2,233
23100,2,233
23200,2,233
23300,2,233
23400,2,233
23500,2,233
23600,2,233
23700,2,233
23800,2,233
23900,2,233
24000,2,233
24100,2,233
24200,2,233
24300,2,233
24400,2,233
24500,2,233
24600,2,233
24700,2,233
24800,2,233
24900,2,233
25000,2,233
25100,2,233
25200,2,233
25300,2,233
25400,2,233
25500,2,233
25600,2,233
25700,2,233
25800,2,233
25900,2,233
26000,2,233
26100,2,233
26200,2,233
26300,2,233
26400,2,233
26500,3,192
26600,3,192
26700,3,192
26800,3,192
26900,3,192
27000,3,192
27100,3,192
27200,3,192
27300,3,192
27400,3,192
27500,3,192
27600,4,87
27700,4,87
27800,4,87
27900,4,87
28000,4,87
28100,5,87
28200,5,87
28300,5,87
28400,5,87
28500,5,87
28600,5,87
28700,5,87
28800,5,87
28900,5,87
29000,5,87
29100,5,87
29200,5,87
29300,5,87
29400,5,87
29500,5,87
29600,5,87
29700,5,87
29800,5,87
29900,5,87
30000,6,45
30100,7,45
30200,7,45
30300,7,45
30400,7,45
30500,7,45
30600,7,45
30700,7,45
30800,7,45
30900,7,45
31000,7,45
31100,7,45
31200,7,45
31300,7,45
31400,7,45
31500,7,45
31600,7,45
31700,7,45
31800,7,45
31900,7,45
32000,7,45
32100,7,45
32200,7,45
32300,7,45
32400,7,45
32500,7,45
32600,7,45
32700,7,45
32800,7,45
32900,8,45
33000,8,45
33100,8,45
33200,8,45
33300,8,45
33400,8,45
33500,8,45
33600,8,45
33700,8,45
33800,8,45
33900,8,45
34000,8,45
34100,8,45
34200,8,45
34300,8,45
34400,8,45
34500,8,45
34600,8,45
34700,8,45
34800,8,45
34900,8,45
35000,8,45
35100,8,45
35200,9,45
35300,9,45
35400,9,45
35500,9,45
35600,9,45
35700,9,45
35800,9,45
35900,9,45
36000,9,45
36100,9,45
36200,9,45
36300,9,45
36400,9,45
36500,9,45
36600,9,45
36700,9,45
36800,9,45
36900,9,45
37000,9,45
37100,9,45
37200,9,45
37300,9,45
37400,9,45
37500,9,45
37600,9,45
37700,9,45
37800,9,45
37900,9,45
38000,9,45
38100,9,45
38200,9,45
38300,9,45
38400,9,45
38500,9,45
38600,9,45
38700,9,45
38800,9,45
38900,9,45
39000,9,45
39100,9,45
39200,9,45
39300,9,45
39400,9,45
39500,9,45
39600,9,45
39700,9,45
39800,9,45
39900,9,45
40000,9,45
40100,9,45
40200,9,45
40300,9,45
40400,9,45
40500,9,45
40600,9,45
40700,9,45
40800,9,45
40900,9,45
41000,9,45
41100,9,45
41200,9,45
41300,9,45
41400,9,45
41500,9,45
41600,9,45
41700,9,45
41800,9,45
41900,9,45
42000,9,45
42100,9,45
42200,9,45
42300,9,45
42400,9,45
42500,9,45
42600,9,45
42700,9,45
42800,9,45
42900,9,45
43000,9,45
43100,9,45
43200,9,45
43300,9,45
43400,9,45
43500,9,45
43600,9,45
43700,9,45
43800,9,45
43900,9,45
44000,9,45
44100,9,45
44200,9,45
44300,9,45
44400,9,45
44500,9,45
44600,9,45
44700,9,45
44800,9,45
44900,9,45
45000,9,45
45100,9,45
45200,9,45
45300,9,45
45400,9,45
45500,9,45
45600,9,45
45700,9,45
45800,9,45
45900,9,45
46000,9,45
46100,9,45
46200,9,45
46300,9,45
46400,9,45
46500,9,45
46600,9,45
46700,9,45
46800,9,45
46900,9,45
47000,9,45
47100,9,45
47200,9,45
47300,9,45
47400,9,45
47500,9,45
47600,9,45
47700,9,45
47800,9,45
47900,9,45
48000,9,45
48100,9,45
48200,9,45
48300,9,45
48400,9,45
48500,9,45
48600,9,45
48700,9,45
48800,9,45
48900,9,45
49000,9,45
49100,9,45
49200,9,45
49300,9,45
49400,9,45
49500,9,45
49600,9,45
49700,9,45
49800,9,45
49900,9,45
50000,9,45
50100,9,45
50200,9,45
50300,9,45
50400,9,45
50500,9,45
50600,9,45
50700,9,45
50800,9,45
50900,9,45
51000,9,45
51100,9,45
