time,nb dead,nb package
100,0,300
200,0,300
300,0,300
400,0,300
500,0,300
600,0,300
700,0,300
800,0,300
900,0,300
1000,0,300
1100,0,300
1200,0,300
1300,0,300
1400,0,300
1500,0,300
1600,0,300
1700,0,300
1800,0,300
1900,0,300
2000,0,300
2100,0,300
2200,0,300
2300,0,300
2400,0,300
2500,0,300
2600,0,300
2700,0,300
2800,0,300
2900,0,300
3000,0,300
3100,0,300
3200,0,300
3300,0,300
3400,0,300
3500,0,300
3600,0,300
3700,0,300
3800,0,300
3900,0,300
4000,0,300
4100,0,300
4200,0,300
4300,0,300
4400,0,300
4500,0,300
4600,0,300
4700,0,300
4800,0,300
4900,0,300
5000,0,300
5100,0,300
5200,0,300
5300,0,300
5400,0,300
5500,0,300
5600,0,300
5700,0,300
5800,0,300
5900,0,300
6000,0,300
6100,0,300
6200,0,300
6300,0,300
6400,0,300
6500,0,300
6600,0,300
6700,1,300
6800,1,300
6900,1,300
7000,1,300
7100,1,300
7200,1,300
7300,1,300
7400,1,300
7500,1,300
7600,1,300
7700,1,300
7800,1,300
7900,1,300
8000,1,300
8100,1,300
8200,2,199
8300,2,199
8400,3,146
8500,3,146
8600,3,146
8700,3,146
8800,3,146
8900,3,146
9000,3,146
9100,3,146
9200,3,146
9300,3,146
9400,3,146
9500,3,146
9600,3,146
9700,3,146
9800,3,146
9900,3,146
10000,3,146
10100,3,146
10200,3,146
10300,3,146
10400,3,146
10500,3,146
10600,3,146
10700,3,146
10800,3,146
10900,3,146
11000,3,146
11100,4,30
11200,4,30
11300,4,30
11400,4,30
11500,4,30
11600,4,30
11700,4,30
11800,4,30
11900,4,30
12000,4,30
12100,4,30
12200,4,30
12300,4,30
12400,4,30
12500,4,30
12600,4,30
12700,4,30
12800,4,30
12900,4,30
13000,4,30
13100,4,30
13200,4,30
13300,4,30
13400,4,30
13500,4,30
13600,4,30
13700,4,30
13800,4,30
13900,4,30
14000,4,30
14100,4,30
14200,4,30
14300,4,30
14400,4,30
14500,4,30
14600,4,30
14700,4,30
14800,4,30
14900,4,30
15000,4,30
15100,4,30
15200,4,30
15300,4,30
15400,4,30
15500,4,30
15600,4,30
15700,4,30
15800,4,30
15900,4,30
16000,4,30
16100,4,30
16200,4,30
16300,4,30
16400,4,30
16500,4,30
16600,4,30
16700,4,30
16800,4,30
16900,4,30
17000,4,30
17100,4,30
17200,4,30
17300,4,30
17400,4,30
17500,5,30
17600,5,30
17700,5,30
17800,5,30
17900,5,30
18000,5,30
18100,5,30
18200,5,30
18300,5,30
18400,5,30
18500,5,30
18600,5,30
18700,5,30
18800,5,30
18900,5,30
19000,5,30
19100,6,10
19200,6,10
19300,6,10
19400,6,10
19500,6,10
19600,7,10
19700,7,10
19800,7,10
19900,7,10
20000,7,10
20100,7,10
20200,7,10
20300,7,10
20400,7,10
20500,7,10
20600,7,10
20700,7,10
20800,8,10
20900,8,10
21000,8,10
21100,8,10
21200,8,10
21300,8,10
21400,9,10
21500,9,10
21600,9,10
21700,9,10
21800,9,10
21900,9,10
22000,9,10
22100,9,10
22200,9,10
22300,9,10
22400,9,10
22500,9,10
22600,10,10
22700,10,10
22800,10,10
22900,10,10
23000,10,10
23100,10,10
23200,11,10
23300,11,10
23400,11,10
23500,11,10
23600,11,10
23700,11,10
23800,11,10
23900,11,10
24000,11,10
24100,11,10
24200,11,10
24300,11,10
24400,11,10
24500,12,10
24600,12,10
24700,12,10
24800,12,10
24900,12,10
25000,12,10
25100,12,10
25200,12,10
25300,12,10
25400,12,10
25500,12,10
25600,12,10
25700,12,10
25800,12,10
25900,12,10
26000,12,10
26100,12,10
26200,12,10
26300,12,10
26400,12,10
26500,12,10
26600,13,10
26700,13,10
26800,13,10
26900,13,10
27000,13,10
27100,13,10
27200,13,10
27300,13,10
27400,13,10
27500,13,10
27600,13,10
27700,13,10
27800,13,10
27900,13,10
28000,13,10
28100,13,10
28200,13,10
28300,13,10
28400,13,10
28500,13,10
28600,13,10
28700,13,10
28800,13,10
28900,13,10
29000,13,10
29100,13,10
29200,13,10
29300,13,10
29400,13,10
29500,13,10
29600,13,10
29700,13,10
29800,13,10
29900,13,10
30000,13,10
30100,13,10
30200,13,10
30300,13,10
30400,13,10
30500,13,10
30600,13,10
30700,13,10
30800,13,10
30900,13,10
31000,13,10
31100,13,10
31200,13,10
31300,13,10
31400,13,10
31500,13,10
31600,13,10
31700,13,10
31800,13,10
31900,13,10
32000,13,10
32100,13,10
32200,13,10
32300,13,10
32400,13,10
32500,13,10
32600,14,10
32700,14,10
32800,15,10
32900,15,10
33000,15,10
33100,15,10
33200,15,10
33300,15,10
33400,15,10
33500,15,10
33600,15,10
33700,15,10
33800,15,10
33900,15,10
34000,15,10
34100,15,10
34200,15,10
34300,15,10
34400,15,10
34500,15,10
34600,15,10
34700,15,10
34800,15,10
34900,16,10
35000,16,10
35100,16,10
35200,16,10
35300,16,10
35400,16,10
35500,16,10
35600,16,10
35700,16,10
35800,16,10
35900,17,10
36000,18,10
36100,18,10
36200,18,10
36300,18,10
36400,18,10
36500,18,10
36600,18,10
36700,19,10
36800,19,10
36900,19,10
37000,19,10
37100,19,10
37200,19,10
37300,19,10
37400,19,10
37500,19,10
37600,19,10
37700,19,10
37800,19,10
37900,19,10
38000,19,10
38100,19,10
38200,19,10
38300,19,10
38400,19,10
38500,19,10
38600,19,10
38700,19,10
38800,19,10
38900,19,10
39000,19,10
39100,19,10
39200,19,10
39300,19,10
39400,19,10
39500,19,10
39600,19,10
39700,20,10
39800,20,10
39900,20,10
40000,20,10
40100,20,10
40200,20,10
40300,20,10
40400,20,10
40500,20,10
40600,20,10
40700,20,10
40800,20,10
40900,21,28
41000,21,28
41100,21,28
41200,21,28
41300,21,28
41400,21,28
41500,21,28
41600,21,28
41700,21,28
41800,22,28
41900,22,28
42000,22,28
42100,22,28
42200,22,28
42300,22,28
42400,22,28
42500,22,28
42600,22,28
42700,22,28
42800,22,28
42900,22,28
43000,22,28
43100,22,28
43200,22,28
43300,22,28
43400,22,28
43500,22,28
43600,22,28
43700,22,28
43800,22,28
43900,22,28
