time,nb dead,nb package
100,0,300
200,0,300
300,0,300
400,0,300
500,0,300
600,0,300
700,0,300
800,0,300
900,0,300
1000,0,300
1100,0,300
1200,0,300
1300,0,300
1400,0,300
1500,0,300
1600,0,300
1700,0,300
1800,0,300
1900,0,300
2000,0,300
2100,0,300
2200,0,300
2300,0,300
2400,0,300
2500,0,300
2600,0,300
2700,0,300
2800,0,300
2900,0,300
3000,0,300
3100,0,300
3200,0,300
3300,0,300
3400,0,300
3500,0,300
3600,0,300
3700,0,300
3800,0,300
3900,0,300
4000,0,300
4100,0,300
4200,0,300
4300,0,300
4400,0,300
4500,0,300
4600,0,300
4700,0,300
4800,0,300
4900,0,300
5000,0,300
5100,0,300
5200,0,300
5300,0,300
5400,0,300
5500,0,300
5600,0,300
5700,0,300
5800,0,300
5900,0,300
6000,0,300
6100,0,300
6200,0,300
6300,0,300
6400,0,300
6500,0,300
6600,0,300
6700,0,300
6800,0,300
6900,0,300
7000,0,300
7100,0,300
7200,0,300
7300,0,300
7400,0,300
7500,0,300
7600,0,300
7700,0,300
7800,0,300
7900,0,300
8000,0,300
8100,0,300
8200,0,300
8300,0,300
8400,0,300
8500,0,300
8600,0,300
8700,1,300
8800,1,300
8900,1,300
9000,1,300
9100,1,300
9200,1,300
9300,1,300
9400,1,300
9500,1,300
9600,1,300
9700,1,300
9800,1,300
9900,1,300
10000,1,300
10100,1,300
10200,1,300
10300,1,300
10400,1,300
10500,1,300
10600,1,300
10700,1,300
10800,1,300
10900,1,300
11000,1,300
11100,1,300
11200,1,300
11300,1,300
11400,1,300
11500,2,199
11600,2,199
11700,2,199
11800,2,199
11900,2,199
12000,2,199
12100,2,199
12200,2,199
12300,2,199
12400,2,199
12500,2,199
12600,2,199
12700,2,199
12800,2,199
12900,2,199
13000,2,199
13100,2,199
13200,2,199
13300,2,199
13400,2,199
13500,2,199
13600,2,199
13700,2,199
13800,2,199
13900,2,199
14000,2,199
14100,2,199
14200,2,199
14300,2,199
14400,2,199
14500,2,199
14600,3,121
14700,3,121
14800,3,121
14900,3,121
15000,3,121
15100,3,121
15200,3,121
15300,3,121
15400,3,121
15500,3,121
15600,3,121
15700,4,5
15800,4,5
15900,4,5
16000,4,5
16100,4,5
16200,4,5
16300,4,5
16400,4,5
16500,4,5
16600,4,5
16700,4,5
16800,4,5
16900,4,5
17000,4,5
17100,4,5
17200,4,5
17300,4,5
17400,4,5
17500,4,5
17600,4,5
17700,4,5
17800,4,5
17900,4,5
18000,4,5
18100,4,5
18200,4,5
18300,4,5
18400,4,5
18500,4,5
18600,4,5
18700,4,5
18800,4,5
18900,4,5
19000,4,5
19100,4,5
19200,4,5
19300,4,5
19400,4,5
19500,4,5
19600,4,5
19700,4,5
19800,4,5
19900,4,5
20000,4,5
20100,4,5
20200,4,5
20300,4,5
20400,4,5
20500,4,5
20600,4,5
20700,4,5
20800,4,5
20900,4,5
21000,4,5
21100,4,5
21200,4,5
21300,4,5
21400,4,5
21500,5,5
21600,5,5
21700,5,5
21800,5,5
21900,5,5
22000,5,5
22100,5,5
22200,5,5
22300,5,5
22400,5,5
22500,5,5
22600,5,5
22700,5,5
22800,5,5
22900,5,5
23000,5,5
23100,5,5
23200,5,5
23300,5,5
23400,5,5
23500,5,5
23600,5,5
23700,5,5
23800,5,5
23900,5,5
24000,5,5
24100,5,5
24200,5,5
24300,5,5
24400,5,5
24500,5,5
24600,5,5
24700,5,5
24800,5,5
24900,5,5
25000,5,5
25100,5,5
25200,5,5
25300,5,5
25400,5,5
25500,5,5
25600,5,5
25700,5,5
25800,5,5
25900,5,5
26000,5,5
26100,5,5
26200,5,5
26300,5,5
26400,5,5
26500,5,5
26600,5,5
26700,5,5
26800,5,5
26900,5,5
27000,5,5
27100,5,5
27200,5,5
27300,5,5
27400,5,5
27500,5,5
27600,5,5
27700,5,5
27800,5,5
27900,5,5
28000,5,5
28100,5,5
28200,5,5
28300,5,5
28400,5,5
28500,5,5
28600,5,5
28700,5,5
28800,5,5
28900,5,5
29000,5,5
29100,5,5
29200,5,5
29300,5,5
29400,5,5
29500,5,5
29600,6,5
29700,6,5
29800,6,5
29900,6,5
30000,6,5
30100,6,5
30200,6,5
30300,7,5
30400,7,5
30500,7,5
30600,7,5
30700,7,5
30800,7,5
30900,7,5
31000,7,5
31100,7,5
31200,7,5
31300,7,5
31400,7,5
31500,7,5
31600,7,5
31700,8,5
31800,8,5
31900,8,5
32000,8,5
32100,9,5
32200,9,5
32300,9,5
32400,9,5
32500,9,5
32600,9,5
32700,9,5
32800,9,5
32900,9,5
33000,9,5
33100,9,5
33200,9,5
33300,9,5
33400,9,5
33500,9,5
33600,9,5
33700,9,5
33800,9,5
33900,9,5
34000,9,5
34100,9,5
34200,9,5
34300,9,5
34400,9,5
34500,9,5
34600,9,5
34700,9,5
34800,9,5
34900,9,5
35000,9,5
35100,9,5
35200,9,5
35300,9,5
35400,9,5
35500,9,5
35600,9,5
35700,9,5
35800,9,5
35900,9,5
36000,9,5
36100,9,5
36200,9,5
36300,9,5
36400,9,5
36500,9,5
36600,9,5
36700,9,5
36800,9,5
36900,9,5
37000,9,5
37100,9,5
37200,9,5
37300,9,5
37400,9,5
37500,9,5
37600,9,5
37700,9,5
37800,9,5
37900,9,5
38000,9,5
38100,9,5
38200,9,5
38300,9,5
38400,9,5
38500,9,5
38600,9,5
38700,9,5
38800,9,5
38900,9,5
39000,9,5
39100,9,5
39200,9,5
39300,9,5
39400,10,5
39500,10,5
39600,10,5
39700,10,5
39800,10,5
39900,10,5
40000,10,5
40100,10,5
40200,10,5
40300,10,5
40400,10,5
40500,10,5
40600,10,5
40700,10,5
40800,10,5
40900,10,5
41000,10,5
41100,10,5
41200,10,5
41300,10,5
41400,10,5
41500,10,5
41600,10,5
41700,10,5
41800,10,5
41900,10,5
42000,10,5
42100,10,5
42200,10,5
42300,10,5
42400,10,5
42500,10,5
42600,10,5
42700,10,5
42800,10,5
42900,10,5
43000,10,5
43100,10,5
43200,10,5
43300,10,5
43400,10,5
43500,10,5
43600,10,5
43700,10,5
43800,10,5
43900,10,5
